open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-10-11 10:35:00,3835.9,3836.7,3833.0,3834.07,569.2877,2182739.219143,5386.0,131.4849,504164.577795
2025-10-11 10:36:00,3834.08,3838.47,3833.0,3838.46,335.2622,1285775.180285,5142.0,166.6188,638982.48112
2025-10-11 10:37:00,3838.47,3841.01,3837.92,3841.0,376.8576,1446967.296805,4424.0,247.7192,951161.962859
2025-10-11 10:38:00,3841.0,3841.0,3833.64,3833.64,342.4953,1314060.764162,4010.0,114.4114,438861.978496
2025-10-11 10:39:00,3833.65,3834.64,3831.97,3833.1,452.9932,1736231.916801,3551.0,117.7304,451228.772901
2025-10-11 10:40:00,3833.09,3833.58,3830.41,3830.41,279.0859,1069530.401626,4249.0,90.5202,346915.471252
2025-10-11 10:41:00,3830.41,3834.0,3828.75,3831.08,442.7932,1696463.668361,5809.0,193.7657,742406.867575
2025-10-11 10:42:00,3831.08,3832.03,3829.14,3831.33,274.8797,1052988.244961,4311.0,101.5889,389170.197262
2025-10-11 10:43:00,3831.33,3832.86,3830.82,3832.23,338.2951,1296299.329805,3482.0,128.2082,491271.922625
2025-10-11 10:44:00,3832.23,3837.63,3831.36,3837.02,436.7066,1674294.971046,5108.0,253.3074,971215.979152
2025-10-11 10:45:00,3837.01,3838.31,3833.22,3836.0,217.3918,833832.796976,4329.0,80.3268,308107.152724
2025-10-11 10:46:00,3836.01,3836.55,3832.15,3834.37,254.2785,975054.131145,6344.0,94.3346,361709.693429
2025-10-11 10:47:00,3834.36,3836.05,3831.85,3831.86,276.8662,1061215.887837,5644.0,111.4216,427052.666708
2025-10-11 10:48:00,3831.85,3831.86,3826.38,3828.37,604.5318,2314423.11499,6331.0,137.6571,526942.889278
2025-10-11 10:49:00,3828.38,3832.98,3827.55,3831.72,276.2785,1058326.560783,4235.0,161.4227,618386.856359
2025-10-11 10:50:00,3831.71,3834.85,3831.1,3833.87,252.3609,967295.514122,3756.0,87.5851,335738.123178
2025-10-11 10:51:00,3833.86,3837.16,3833.86,3833.96,324.5542,1244980.832232,3321.0,172.7988,662876.02362
2025-10-11 10:52:00,3833.95,3833.96,3831.28,3831.67,200.9638,770207.087411,3443.0,52.7229,202067.184001
2025-10-11 10:53:00,3831.67,3833.67,3831.1,3831.69,189.7278,727041.404324,2596.0,75.897,290835.819785
2025-10-11 10:54:00,3831.7,3832.24,3830.0,3830.03,151.693,581144.631553,2747.0,71.1178,272454.948786
2025-10-11 10:55:00,3830.02,3835.0,3829.2,3835.0,171.0634,655439.948177,3671.0,115.4056,442191.133896
2025-10-11 10:56:00,3835.0,3835.66,3832.44,3834.07,236.1403,905444.052317,2839.0,159.0642,609941.154199
2025-10-11 10:57:00,3834.07,3834.63,3831.73,3831.73,100.1338,383822.785887,3505.0,41.0394,157304.476626
2025-10-11 10:58:00,3831.73,3833.35,3830.79,3830.8,211.9351,812178.582609,1877.0,52.7339,202087.830567
2025-10-11 10:59:00,3830.79,3834.23,3830.2,3833.89,190.8722,731429.248708,1730.0,88.4146,338843.847456
2025-10-11 11:00:00,3833.9,3833.9,3829.26,3829.87,323.096,1238076.187204,3092.0,69.3083,265560.899155
2025-10-11 11:01:00,3829.87,3831.06,3827.72,3827.72,341.754,1308617.152133,4383.0,139.5706,534481.090436
2025-10-11 11:02:00,3827.73,3830.04,3824.49,3830.03,800.5891,3063650.283145,5418.0,552.5684,2114504.383479
2025-10-11 11:03:00,3830.03,3832.09,3824.6,3824.61,380.1457,1455255.634361,4973.0,151.0833,578510.888194
2025-10-11 11:04:00,3824.6,3824.61,3823.35,3823.8,226.7537,867122.608997,1208.0,16.8759,64529.616989
